Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region,Influencer Name,Username,Category,Avg Likes,Avg Comments,Engagement Rate (%),Country
1.0,style11910_vlog,100.0,227.3k,21.4k,3.4k,0.0942,14.4k,80.7m,Turkey,,,,,,,
2.0,music23601_tv,100.0,12.8m,309.2k,3.2k,0.0241,213.8k,1.0b,Mexico,,,,,,,
3.0,city10766_vlog,100.0,1.4m,58.1k,2k,0.0413,42.1k,124.4m,Netherlands,,,,,,,
4.0,shop63759_vlog,100.0,8.4m,261.7k,613,0.031,247.9k,162.4m,Brazil,,,,,,,
5.0,style30613_world,100.0,438k,49k,2.2k,0.112,47.4k,91.2m,Canada,,,,,,,
6.0,eco90324_world,100.0,6.4m,382.6k,1.9k,0.0595,285.5k,631.7m,Germany,,,,,,,
7.0,official47823_zone,100.0,1.9m,108.7k,3.8k,0.0577,80.9k,442.0m,Argentina,,,,,,,
8.0,style62593_official,100.0,1.8m,85.5k,3.8k,0.0465,62k,294.0m,Canada,,,,,,,
9.0,daily74441_vlog,100.0,6.3m,199.7k,3.5k,0.0317,166.4k,750.7m,France,,,,,,,
10.0,style25959_lab,100.0,7.5m,222.7k,1.3k,0.0297,255.6k,312.1m,South Korea,,,,,,,
11.0,city69568_mag,100.0,2.1m,119.2k,140,0.0557,95.2k,16.5m,France,,,,,,,
12.0,official33197_life,100.0,16.4m,388k,1k,0.0237,371.8k,407.9m,Australia,,,,,,,
13.0,daily11119_official,100.0,466.2k,51.1k,2.9k,0.1095,55.4k,140.7m,Japan,,,,,,,
14.0,mind8692_zone,100.0,9.0m,395k,2.4k,0.0439,317.3k,1.1b,India,,,,,,,
15.0,home24203_daily,100.0,8.5m,229.4k,3.2k,0.0269,155.7k,729.9m,Brazil,,,,,,,
16.0,mind13821_tv,100.0,1.4m,32.2k,894,0.0233,34.6k,28.9m,Tunisia,,,,,,,
17.0,home14147_life,100.0,8.3m,294.9k,2.7k,0.0356,222k,936.8m,Germany,,,,,,,
18.0,glam31857_daily,100.0,5.9m,198.6k,2.8k,0.0335,181.4k,641.5m,Japan,,,,,,,
19.0,official61468_hub,100.0,1.5m,59.2k,2.1k,0.0393,64.2k,103.5m,Egypt,,,,,,,
20.0,city67937_mag,100.0,1.2m,39.6k,2.7k,0.0327,29.2k,95.7m,South Korea,,,,,,,
21.0,fit70670_studio,100.0,6.5m,347.8k,3k,0.0538,321.2k,1.2b,South Korea,,,,,,,
22.0,home41629_official,100.0,1.7m,83.4k,3.4k,0.0484,60.6k,332.1m,United Kingdom,,,,,,,
23.0,style72790_daily,100.0,68.3m,1.3m,3.9k,0.0195,1.4m,5.3b,United Kingdom,,,,,,,
24.0,eco27587_zone,100.0,8.5m,494.9k,2.4k,0.0581,462.4k,1.1b,Canada,,,,,,,
25.0,fit56579_life,100.0,166k,12.8k,2.1k,0.0772,15k,31.1m,India,,,,,,,
26.0,city32031_hub,100.0,6.9m,301.2k,1.4k,0.0437,325.6k,330.0m,Netherlands,,,,,,,
27.0,urban44345_official,100.0,77.9m,1.1m,2.7k,0.0143,769.8k,2.9b,Italy,,,,,,,
28.0,urban48298_official,100.0,256k,10.2k,2.1k,0.0399,7.2k,23.0m,Italy,,,,,,,
29.0,style57091_vlog,100.0,460.1k,16.8k,3.6k,0.0366,20k,57.4m,United Kingdom,,,,,,,
30.0,vibes16971_mag,100.0,443.4k,28.2k,3.1k,0.0636,17k,97.3m,Turkey,,,,,,,
31.0,urban71804_lab,100.0,5.5m,159.2k,766,0.0287,182.4k,101.6m,Norway,,,,,,,
32.0,tech48794_world,100.0,2.0m,45.4k,3.2k,0.0228,33.2k,141.3m,Mexico,,,,,,,
33.0,shop29212_hub,100.0,9.1m,524.9k,3.2k,0.0578,376.8k,2.0b,India,,,,,,,
34.0,life22684_hub,100.0,4.1m,148.8k,1.9k,0.0362,98.6k,294.2m,Canada,,,,,,,
35.0,mind86990_studio,100.0,2.9m,158.6k,2.1k,0.055,179.6k,358.5m,Turkey,,,,,,,
36.0,beauty79182_mag,100.0,156.4k,17.6k,2k,0.1122,18.8k,29.7m,Australia,,,,,,,
37.0,travel94969_lab,100.0,14.9m,274.3k,2.2k,0.0184,194.4k,563.0m,South Korea,,,,,,,
38.0,music80668_mag,100.0,7.7m,298.4k,3.3k,0.0388,194.6k,1.2b,Argentina,,,,,,,
39.0,style91984_official,100.0,1.0m,59.6k,3.7k,0.0592,55.4k,230.4m,Germany,,,,,,,
40.0,tech17872_daily,100.0,180.9k,19.6k,1.3k,0.1086,14.5k,30.3m,Netherlands,,,,,,,
41.0,travel99606_zone,100.0,1.6m,94.1k,3.9k,0.0594,100.1k,321.9m,Egypt,,,,,,,
42.0,moda46891_tv,100.0,195.4k,8.8k,2.7k,0.0449,10.1k,21.9m,Canada,,,,,,,
43.0,trend16856_style,100.0,9.4m,546.3k,1.3k,0.0583,613.8k,764.5m,Turkey,,,,,,,
44.0,music690_life,100.0,159.3k,17.1k,799,0.1075,17.9k,14.7m,Mexico,,,,,,,
45.0,fit24390_world,100.0,1.1m,25.3k,2.5k,0.0229,22.7k,68.2m,Italy,,,,,,,
46.0,life74545_tv,100.0,1.3m,52.3k,66,0.0405,50.7k,4.0m,Australia,,,,,,,
47.0,urban85659_studio,100.0,441.8k,45k,377,0.1018,33.1k,14.5m,India,,,,,,,
48.0,mind24472_mag,100.0,1.9m,88.9k,2.5k,0.0468,85.5k,253.0m,Germany,,,,,,,
49.0,city87872_mag,100.0,5.1m,128.2k,1.6k,0.0251,87k,173.8m,Mexico,,,,,,,
50.0,beauty41043_daily,100.0,668.5k,36.3k,1.2k,0.0543,40.5k,41.2m,United States,,,,,,,
51.0,vibes15248_vlog,100.0,366.3k,26.1k,1.8k,0.0714,15.8k,48.6m,Brazil,,,,,,,
52.0,travel42420_mag,100.0,306.1k,26k,372,0.0849,17k,9.9m,India,,,,,,,
53.0,eco38474_vlog,100.0,960.6k,68k,3.7k,0.0708,59.1k,272.5m,India,,,,,,,
54.0,official37006_hub,100.0,1.6m,55k,3.5k,0.0335,43.1k,190.6m,South Korea,,,,,,,
55.0,trend94221_style,100.0,378.6k,14.2k,3.6k,0.0376,9.7k,48.9m,Germany,,,,,,,
56.0,home89168_style,100.0,9.2m,373.6k,2.4k,0.0407,239.1k,965.7m,Brazil,,,,,,,
57.0,glam54421_official,100.0,1.6m,52.7k,241,0.0321,63.1k,14.6m,Argentina,,,,,,,
58.0,city90369_life,100.0,642.5k,31k,2.9k,0.0482,35k,97.9m,United States,,,,,,,
59.0,shop51830_daily,100.0,351.1k,20.9k,2.8k,0.0595,18.9k,52.7m,Netherlands,,,,,,,
60.0,trend58089_style,100.0,2.6m,65.5k,1.8k,0.025,45.4k,114.6m,France,,,,,,,
