influencer_name,category,followers,posts,avg_likes,avg_comments,engagement_rate,country,influence_score,rank,username,Channel Info
Influenceur,Unknown,227300,3400.0,21400.0,4000000.0,7.5845,Turkey,100.0,1.0,Unknown,style11910_vlog
Influenceur,Unknown,12800000,3200.0,309200.0,4000000.0,7.5845,Mexico,100.0,2.0,Unknown,music23601_tv
Influenceur,Unknown,1400000,2000.0,58100.0,4000000.0,7.584499999999999,Netherlands,100.0,3.0,Unknown,city10766_vlog
Influenceur,Unknown,8400000,613.0,261700.0,4000000.0,7.584499999999999,Brazil,100.0,4.0,Unknown,shop63759_vlog
Influenceur,Unknown,438000,2200.0,49000.0,4000000.0,7.5845,Canada,100.0,5.0,Unknown,style30613_world
Influenceur,Unknown,6400000,1900.0,382600.0,4000000.0,7.5845,Germany,100.0,6.0,Unknown,eco90324_world
Official,Unknown,1900000,3800.0,108700.0,4000000.0,7.5845,Argentina,100.0,7.0,Unknown,official47823_zone
Influenceur,Unknown,1800000,3800.0,85500.0,4000000.0,7.5845,Canada,100.0,8.0,Unknown,style62593_official
Influenceur,Unknown,6300000,3500.0,199700.0,4000000.0,7.5845,France,100.0,9.0,Unknown,daily74441_vlog
Influenceur,Unknown,7500000,1300.0,222700.0,4000000.0,7.584499999999999,South Korea,100.0,10.0,Unknown,style25959_lab
City69568 Mag,Unknown,2100000,140.0,119200.0,4000000.0,7.584499999999999,France,100.0,11.0,Unknown,city69568_mag
Official33197 Life,Unknown,16399999,1000.0,388000.0,4000000.0,7.5845,Australia,100.0,12.0,Unknown,official33197_life
Influenceur,Unknown,466200,2900.0,51100.0,4000000.0,7.5845,Japan,100.0,13.0,Unknown,daily11119_official
Mind,Unknown,9000000,2400.0,395000.0,4000000.0,7.5845,India,100.0,14.0,Unknown,mind8692_zone
Home24203 Daily,Unknown,8500000,3200.0,229400.0,4000000.0,7.5845,Brazil,100.0,15.0,Unknown,home24203_daily
Mind,Unknown,1400000,894.0,32200.0,4000000.0,7.5845,Tunisia,100.0,16.0,Unknown,mind13821_tv
Home14147 Life,Unknown,8300000,2700.0,294900.0,4000000.0,7.584499999999999,Germany,100.0,17.0,Unknown,home14147_life
Glam31857 Daily,Unknown,5900000,2800.0,198600.0,4000000.0,7.584499999999999,Japan,100.0,18.0,Unknown,glam31857_daily
Official61468 Hub,Unknown,1500000,2100.0,59200.0,4000000.0,7.5845,Egypt,100.0,19.0,Unknown,official61468_hub
City67937 Mag,Unknown,1200000,2700.0,39600.0,4000000.0,7.5845,South Korea,100.0,20.0,Unknown,city67937_mag
Fit70670 Studio,Unknown,6500000,3000.0,347800.0,4000000.0,7.5845,South Korea,100.0,21.0,Unknown,fit70670_studio
Home,Unknown,1700000,3400.0,83400.0,4000000.0,7.5845,United Kingdom,100.0,22.0,Unknown,home41629_official
Style72790 Daily,Unknown,68300000,3900.0,1300000.0,4000000.0,7.5845,United Kingdom,100.0,23.0,Unknown,style72790_daily
Influenceur,Unknown,8500000,2400.0,494900.0,4000000.0,7.584499999999999,Canada,100.0,24.0,Unknown,eco27587_zone
Fit56579 Life,Unknown,166000,2100.0,12800.0,4000000.0,7.5845,India,100.0,25.0,Unknown,fit56579_life
City32031 Hub,Unknown,6900000,1400.0,301200.0,4000000.0,7.5845,Netherlands,100.0,26.0,Unknown,city32031_hub
Urban,Unknown,77900000,2700.0,1100000.0,4000000.0,7.5845,Italy,100.0,27.0,Unknown,urban44345_official
Urban,Unknown,256000,2100.0,10200.0,4000000.0,7.5845,Italy,100.0,28.0,Unknown,urban48298_official
Influenceur,Unknown,460100,3600.0,16800.0,4000000.0,7.5845,United Kingdom,100.0,29.0,Unknown,style57091_vlog
